experiment,spatial_block,kernel,n_cells,MSE,RMSE,weighted_squared_error_sum
gridded_annual,9,RBF,8,3.3236366370812,1.8230843746467686,26.5890930966496
gridded_annual,0,Matern,12,5.754444034459069,2.398842227921434,69.05332841350882
gridded_annual,1,Matern,12,1.0633967342119997,1.0312112946491614,12.760760810543996
gridded_annual,2,Matern,12,1.028511538888939,1.014155579232762,12.342138466667267
gridded_annual,3,Matern,9,2.6343845741896024,1.623078733207235,23.709461167706422
gridded_annual,4,Matern,8,3.209933320974743,1.7916286783189042,25.679466567797945
gridded_annual,5,Matern,10,4.53056939667886,2.1285134241246544,45.3056939667886
gridded_annual,6,Matern,11,1.851602043949561,1.3607358464998125,20.36762248344517
gridded_annual,7,Matern,9,3.045646807509589,1.745178159246095,27.4108212675863
gridded_annual,8,Matern,9,1.7370363484113838,1.3179667478397867,15.633327135702453
gridded_annual,9,Matern,8,3.129034720540048,1.7689077761545535,25.032277764320384
gridded_monthly,0,RBF,12,1.5240061034812185,1.2345064209963506,18.288073241774622
gridded_monthly,1,RBF,12,0.556698137599657,0.7461220661524876,6.680377651195885
gridded_monthly,2,RBF,12,0.2453770351533263,0.49535546343340786,2.9445244218399154
gridded_monthly,3,RBF,9,1.158525779504948,1.0763483541609324,10.426732015544532
gridded_monthly,4,RBF,8,1.9212392797900588,1.3860877604935622,15.36991423832047
gridded_monthly,5,RBF,10,0.8522182495549548,0.923156676602057,8.522182495549549
gridded_monthly,6,RBF,11,0.8640581979122346,0.9295473080549664,9.504640177034581
gridded_monthly,7,RBF,9,1.0402566288018071,1.0199297175795041,9.362309659216264
gridded_monthly,8,RBF,9,0.9659575505670447,0.9828313947809384,8.693617955103402
gridded_monthly,9,RBF,8,0.986121179203399,0.993036343344693,7.888969433627192
gridded_monthly,0,Matern,12,1.7005888266674114,1.3040662662101996,20.407065920008936
gridded_monthly,1,Matern,12,0.5571549689686285,0.7464281405256828,6.685859627623541
gridded_monthly,2,Matern,12,0.2019325174950202,0.4493690215124093,2.4231902099402425
gridded_monthly,3,Matern,9,0.8429586525787043,0.9181277975198792,7.5866278732083385
gridded_monthly,4,Matern,8,1.3459714379265177,1.1601600915074255,10.767771503412142
gridded_monthly,5,Matern,10,0.6754951638800664,0.8218851281536041,6.754951638800664
gridded_monthly,6,Matern,11,0.6851607104657088,0.8277443509113842,7.536767815122797
gridded_monthly,7,Matern,9,0.8112548196562832,0.9006968522517902,7.301293376906549
gridded_monthly,8,Matern,9,0.6869102569057375,0.8288004928242607,6.182192312151638
gridded_monthly,9,Matern,8,0.9585147962822689,0.9790376888977609,7.668118370258151
gridded_monthly_RL50,0,RBF,12,3.852997848580993,1.9629054609381962,46.235974182971916
gridded_monthly_RL50,1,RBF,12,0.6976049235366998,0.8352274681406855,8.371259082440398
gridded_monthly_RL50,2,RBF,12,0.3276495136176481,0.5724067728614399,3.931794163411777
gridded_monthly_RL50,3,RBF,9,8.4416000371019,2.905443173958475,75.97440033391709
gridded_monthly_RL50,4,RBF,8,17.961616270439016,4.238114707088402,143.69293016351213
gridded_monthly_RL50,5,RBF,10,0.3933179793377546,0.6271506831198979,3.933179793377546
gridded_monthly_RL50,6,RBF,11,7.040836810830921,2.653457520072805,77.44920491914013
gridded_monthly_RL50,7,RBF,9,0.7999787583852336,0.89441531649745,7.199808825467102
gridded_monthly_RL50,8,RBF,9,5.56936847331317,2.3599509472260585,50.12431625981853
gridded_monthly_RL50,9,RBF,8,7.740686429247474,2.7822089118625644,61.92549143397979
gridded_monthly_RL50,0,Matern,12,5.039559790288975,2.2448963874283763,60.47471748346771
gridded_monthly_RL50,1,Matern,12,0.5377983312110945,0.733347346903972,6.453579974533135
gridded_monthly_RL50,2,Matern,12,0.17995991055998564,0.4242168202228498,2.159518926719828
gridded_monthly_RL50,3,Matern,9,3.2232911971355716,1.7953526665074948,29.009620774220142
gridded_monthly_RL50,4,Matern,8,13.69664834005105,3.7008983152811763,109.5731867204084
gridded_monthly_RL50,5,Matern,10,0.5246552946640719,0.7243309289710552,5.246552946640719
gridded_monthly_RL50,6,Matern,11,5.827534107201009,2.414028605298829,64.1028751792111
gridded_monthly_RL50,7,Matern,9,1.6293866413890727,1.276474301107967,14.664479772501656
gridded_monthly_RL50,8,Matern,9,5.108576383688213,2.2602160037678285,45.97718745319392
