"panel","true_value","rep","ml_width_mu","ml_width_sigma","ml_width_xi"
"mu",3.04166666666667,33,2.20535468246434,1.74788139914836,0.158914089236092
"mu",3.04166666666667,34,1.92327465499173,1.56543486516323,0.146804749123592
"mu",3.04166666666667,35,2.12945230217123,1.67384821801163,0.154579080870757
"mu",3.04166666666667,36,2.03222071009183,1.65312056219683,0.160310845395979
"mu",3.04166666666667,37,2.07995592855575,1.62045323639293,0.139257288453787
"mu",3.04166666666667,38,2.08104343936829,1.71163730759788,0.155691198227875
"mu",3.04166666666667,39,2.14096911339432,1.72555836214239,0.166882492419254
"mu",3.04166666666667,40,2.22468312969632,1.78083582418084,0.153600008016375
"mu",3.04166666666667,41,2.2494350424032,1.73653861035461,0.158305081192066
"mu",3.04166666666667,42,2.20665435830624,1.70080559950626,0.155170962201441
"mu",3.04166666666667,43,2.09760965330314,1.67700028138769,0.146106838213344
"mu",3.04166666666667,44,2.17295981776808,1.73586643371086,0.159995762142731
"mu",3.04166666666667,45,2.5001457593661,2.00316715497655,0.175762080631037
"mu",3.04166666666667,46,2.11232601004321,1.68753939074215,0.170124087012909
"mu",3.04166666666667,47,2.18829294669576,1.75695389053758,0.16484427865347
"mu",3.04166666666667,48,2.21346071938521,1.87059278130867,0.174709636254584
"mu",3.04166666666667,49,2.33302376674459,1.82634385971558,0.161254937869498
"mu",3.04166666666667,50,2.29745138716747,1.8070272326959,0.156748082476507
"mu",3.04166666666667,51,2.08928766079724,1.69077608553493,0.156936660579694
"mu",3.04166666666667,52,2.10992743929521,1.67195835189077,0.16074019120208
"mu",3.04166666666667,53,2.11559164503329,1.64847435107799,0.149094287786292
"mu",3.04166666666667,54,2.22047476709727,1.6977601154954,0.157964054634127
"mu",3.04166666666667,55,2.15842882642373,1.75876077326557,0.164877535583516
"mu",3.04166666666667,56,2.26497522365088,1.76571508164401,0.155693523359909
"mu",3.04166666666667,57,2.2973479597364,1.81440741359795,0.162638593712098
"mu",3.04166666666667,58,2.20505269571508,1.78746742332106,0.152651928830794
"mu",3.04166666666667,59,2.06759238823694,1.64012424322567,0.167063872367256
"mu",3.04166666666667,60,2.22006343968924,1.77182833302769,0.155510764100055
"mu",3.04166666666667,61,2.1590625970054,1.70557814969252,0.151026917873539
"mu",3.04166666666667,62,2.01162464218484,1.55371499415238,0.141255901728951
"mu",3.04166666666667,63,2.10059197155821,1.62495030843051,0.154423406666783
"mu",3.04166666666667,64,2.16963332112498,1.73803291816981,0.164489005925359
"mu",3.04166666666667,65,2.26875525608489,1.83382338515181,0.164970802856682
"mu",3.04166666666667,66,2.16372543158106,1.69073789836445,0.147572845986466
"mu",3.04166666666667,67,2.22725126148675,1.74422024856767,0.148001356859935
"mu",3.04166666666667,68,2.2421328690873,1.75792266240573,0.15860877789716
"mu",3.04166666666667,69,2.08713863826504,1.71429037160458,0.1661087877035
"mu",3.04166666666667,70,2.21967921660716,1.70459427232963,0.165814358847264
"mu",3.04166666666667,71,2.10282651187454,1.63787692502093,0.140541298347756
"mu",3.04166666666667,72,2.08135152977693,1.63524830922787,0.148532391095103
"mu",3.04166666666667,73,2.13496469713051,1.68107112805691,0.141974286660081
"mu",3.04166666666667,74,2.14337619283837,1.68523840640503,0.153641060044992
"mu",3.04166666666667,75,2.31772755302969,1.83578859361627,0.16626108579298
"mu",3.04166666666667,76,2.19217024501348,1.74961571033234,0.155460272860731
"mu",3.04166666666667,77,1.97288526750461,1.53569990675883,0.127821060893861
"mu",3.04166666666667,78,2.1108122292887,1.69144070706121,0.164301010778499
"mu",3.04166666666667,79,2.11220229796119,1.64281202632266,0.141791135950996
"mu",3.04166666666667,80,2.06674245019479,1.62654961572933,0.159197761641463
"mu",3.04166666666667,81,2.14605474911885,1.65840308190107,0.140207625759586
"mu",3.04166666666667,82,2.27946478133139,1.81978529519405,0.172625709750163
"mu",3.04166666666667,83,2.15694065120144,1.72637284140755,0.143195456658914
"mu",3.04166666666667,84,2.11342513157875,1.72478083721481,0.165177826332925
"mu",3.04166666666667,85,2.21720901338124,1.7755377185762,0.140684465962945
"mu",3.04166666666667,86,2.33036406445529,1.87003825427747,0.160215580523169
"mu",3.04166666666667,87,2.03503211082929,1.59768555870042,0.150716664752134
"mu",3.04166666666667,88,2.10053500034869,1.67256784783622,0.155505204916171
"mu",3.04166666666667,89,2.28122425988139,1.84623105593017,0.157662868083176
"mu",3.04166666666667,90,2.1867796839775,1.76258271791906,0.157301862275267
"mu",3.04166666666667,91,2.13670641830717,1.73075533630658,0.156433739964976
"mu",3.04166666666667,92,2.04881288310496,1.66353620379973,0.157763099779711
"mu",3.04166666666667,93,2.18868280025854,1.79791840839378,0.173418020102619
"mu",3.04166666666667,94,2.16463665026864,1.68817491481316,0.156349648490928
"mu",3.04166666666667,95,2.13487612759141,1.66060786400832,0.140945002917771
"mu",3.04166666666667,96,2.25800586803649,1.75746736734707,0.163005761673927
"mu",3.04166666666667,97,2.20833937254146,1.7890194596374,0.157821181228331
"mu",3.04166666666667,98,2.21096754423896,1.76072646659902,0.166471999053385
"mu",3.04166666666667,99,2.31137111197653,1.90153144585082,0.167309968425481
"mu",5.08333333333333,0,2.19722977961437,1.76853165932154,0.163916826261536
"mu",5.08333333333333,1,2.28652612009637,1.86062534502391,0.159399363930844
"mu",5.08333333333333,2,2.14065375614674,1.64808765716408,0.150726269446976
"mu",5.08333333333333,3,2.37194637115572,1.83038395446668,0.146618389225886
"mu",5.08333333333333,4,2.1727658761582,1.78731381058511,0.17091970597575
"mu",5.08333333333333,5,2.1436903668171,1.77243824031267,0.157208087961966
"mu",5.08333333333333,6,2.03794192515076,1.56647902660345,0.147493225205652
"mu",5.08333333333333,7,2.13866512682153,1.65735355375707,0.145641190097282
"mu",5.08333333333333,8,2.25701646903357,1.79129426830269,0.15735677252835
"mu",5.08333333333333,9,2.36768852915171,1.91658483258571,0.160514394303893
"mu",5.08333333333333,10,2.22966682204496,1.78654016763912,0.150605137730662
"mu",5.08333333333333,11,2.23819989397083,1.74527338617183,0.157773700494771
"mu",5.08333333333333,12,2.09895244452345,1.66840568296676,0.155459198789656
"mu",5.08333333333333,13,2.38043311090397,1.93779693506362,0.167155139487389
"mu",5.08333333333333,14,2.18054053889956,1.68546692905394,0.141724113070184
"mu",5.08333333333333,15,2.16313360330087,1.7560321277739,0.167592413196718
"mu",5.08333333333333,16,2.15154257824098,1.75070997870766,0.151379416802286
"mu",5.08333333333333,17,2.20057607473183,1.8440774809813,0.172523781620561
"mu",5.08333333333333,18,2.3139185076924,1.77978681482309,0.137216153346736
"mu",5.08333333333333,19,2.393217721098,1.92951899592619,0.148360864554916
"mu",5.08333333333333,20,2.06874749053178,1.65185098917634,0.164879733890252
"mu",5.08333333333333,21,1.98427290908766,1.56335521382062,0.151569655722705
"mu",5.08333333333333,22,2.06653365539724,1.5789143110919,0.148070832395495
"mu",5.08333333333333,23,2.40691856247269,1.88110058141022,0.16455224403946
"mu",5.08333333333333,24,2.11105802250786,1.66192173336641,0.154970041142319
"mu",5.08333333333333,25,2.25324697590137,1.80470786684735,0.169848486821529
"mu",5.08333333333333,26,2.05101971230283,1.65834088813205,0.145360146887418
"mu",5.08333333333333,27,2.32827688002593,1.82567278348391,0.14901868034839
"mu",5.08333333333333,28,2.16403251720701,1.69547043266456,0.141722569861345
"mu",5.08333333333333,29,2.0898813757411,1.70886537257319,0.15488020407296
"mu",5.08333333333333,30,2.12200630466043,1.67203102579241,0.150644964054489
"mu",5.08333333333333,31,2.30219939986382,1.79547277267448,0.142582178731904
"mu",5.08333333333333,32,2.08297423718475,1.61128961295151,0.147317035169437
"mu",5.08333333333333,33,2.01539571657107,1.59793815945419,0.15373108241051
"mu",5.08333333333333,34,2.16863371386418,1.70452154798055,0.14949167681045
"mu",5.08333333333333,35,2.17685292788295,1.67005664872842,0.162482458783449
"mu",5.08333333333333,36,2.08666351833351,1.6756145291343,0.157080418419311
"mu",5.08333333333333,37,2.23778624015412,1.79258591305486,0.160515007664292
"mu",5.08333333333333,38,2.12546205236326,1.64710942962423,0.152554720788204
"mu",5.08333333333333,39,2.25419303168548,1.78728763477595,0.150631617893973
"mu",5.08333333333333,40,2.1472894157601,1.67382958648994,0.138965822297499
"mu",5.08333333333333,41,2.17107330423892,1.77900004825152,0.154827172323578
"mu",5.08333333333333,42,2.08340444113881,1.62204543439743,0.147812963571522
"mu",5.08333333333333,43,2.16583191104706,1.69869941221279,0.143938329873129
"mu",5.08333333333333,44,2.19915276113387,1.69948786985909,0.146236674108537
"mu",5.08333333333333,45,2.35628153415032,1.85217084986033,0.159554394317348
"mu",5.08333333333333,46,2.37323045799294,1.88178784200116,0.146553342693222
"mu",5.08333333333333,47,2.32389698126596,1.89421451110696,0.175255436263785
"mu",5.08333333333333,48,2.1002647060017,1.65076612876278,0.157091074464742
"mu",5.08333333333333,49,2.11819038619673,1.75828675244223,0.157871259970993
"mu",5.08333333333333,50,1.99657367567793,1.54954137083665,0.130996046417338
