panel,true_value,rep,nn_width_mu,nn_width_sigma,nn_width_xi
mu,1.0,46,2.619572353437848,2.0318751736703664,0.16105806678533555
mu,1.0,47,2.262448046276662,2.1404162099062845,0.1697823628783226
mu,1.0,48,2.1491779687526575,1.8782149127261523,0.16880884021520617
mu,1.0,49,2.19785472729416,1.8237501577735742,0.16684859395027157
mu,1.0,50,2.319990850271531,2.092761584770299,0.17372296825051306
mu,1.0,51,2.152981458571872,2.0281787677446648,0.16838920861482617
mu,1.0,52,2.427143270114321,2.0069029759988304,0.16485400311648846
mu,1.0,53,2.071084064055373,1.8702901985135885,0.16472119241952898
mu,1.0,54,2.032238686406239,1.7161895639074611,0.1635303966701031
mu,1.0,55,2.0873793314352493,1.7305100367992008,0.16439172253012652
mu,1.0,56,2.287505016584135,2.1855521680863177,0.16472762599587437
mu,1.0,57,2.138983206698978,2.0101151224441516,0.17109903916716573
mu,1.0,58,2.3470631615867052,2.136171023778777,0.18532124236226083
mu,1.0,59,2.3029991868712196,2.149329083881552,0.15437903106212617
mu,1.0,60,2.3827357088912295,2.214910080721191,0.16257780864834787
mu,1.0,61,2.49499435547838,2.35981534651863,0.1800224855542183
mu,1.0,62,2.2601714057027973,1.989459946473982,0.1593073956668377
mu,1.0,63,2.3291258448736065,2.225303084041654,0.16557070240378377
mu,1.0,64,2.174645948760474,1.9470427249684423,0.15984712094068523
mu,1.0,65,2.0224379521881346,1.618688275138874,0.158532677963376
mu,1.0,66,2.395923699454608,2.133294490095908,0.1731811225414276
mu,1.0,67,2.2045518008021663,2.017540096115436,0.17697494626045224
mu,1.0,68,2.3915096791716484,2.0257902117000057,0.16637411713600153
mu,1.0,69,1.975007858973572,1.8614987752042431,0.16043514832854272
mu,1.0,70,2.287175183880908,2.0745010501810093,0.16007260978221893
mu,1.0,71,2.41110854072424,2.2029662817165967,0.16887651830911632
mu,1.0,72,2.2352319885993204,2.0492912750196535,0.16317913159728054
mu,1.0,73,2.230024284298747,2.157131008311026,0.16933476775884626
mu,1.0,74,2.1951681767662627,2.077887506681094,0.17397227138280866
mu,1.0,75,2.232830624142024,2.09118532617002,0.181323204934597
mu,1.0,76,2.312686328412477,2.1149803567792844,0.163932191580534
mu,1.0,77,2.284971654872935,2.019006273961642,0.1682001419365406
mu,1.0,78,2.226587317438926,1.9636612444980077,0.1571196399629116
mu,1.0,79,2.3742436013805777,2.1017848520141964,0.15728994682431216
mu,1.0,80,2.117803328157025,1.790547440696134,0.16511591002345083
mu,1.0,81,2.179958300710404,1.9184321684067172,0.1652146033942699
mu,1.0,82,2.33507235121573,2.077232013849299,0.16805814877152445
mu,1.0,83,2.313008507139728,2.285465578107045,0.172889269888401
mu,1.0,84,2.419446408671336,2.145585387505921,0.17289374396204946
mu,1.0,85,2.268319214397326,1.9426007975724815,0.16491261385381217
mu,1.0,86,2.4296819060551886,2.050374940643689,0.16431116014719005
mu,1.0,87,2.1205415775075784,1.9147019240088134,0.16845517307519908
mu,1.0,88,2.122257077854137,1.9937843242008544,0.16941419169306754
mu,1.0,89,2.2164221253955096,2.057390940734816,0.16027756109833716
mu,1.0,90,2.377986789154553,1.9635986932983194,0.1650122597813606
mu,1.0,91,2.2585285857304584,2.071104212150262,0.18406542316079136
mu,1.0,92,2.2606093361533794,1.9322353121669966,0.16425178609788418
mu,1.0,93,2.3163991912202406,2.06527612395867,0.1622689612209797
mu,1.0,94,2.3700818249764755,2.039834196639145,0.1618159931153059
mu,1.0,95,2.396612270977011,2.1076550086813075,0.16164478585124012
mu,1.0,96,2.481203398877305,2.240479340734174,0.1734141148626804
mu,1.0,97,2.1606285263508895,1.9665501430056,0.16695769652724265
mu,1.0,98,2.2338051694305303,2.0279084783149184,0.1659996673464775
mu,1.0,99,2.4364459036318156,2.094670475147076,0.16684836149215698
mu,3.0416666666666665,0,2.346270275563179,2.0965333948321465,0.1648236319422722
mu,3.0416666666666665,1,2.2004670519675207,1.919098294090972,0.16103707998991013
mu,3.0416666666666665,2,2.142877313452961,1.8422446799320937,0.16146277114748953
mu,3.0416666666666665,3,2.116954854648857,1.8136164678470976,0.16185603290796277
mu,3.0416666666666665,4,2.3567848956302617,1.9980727106240757,0.155399851500988
mu,3.0416666666666665,5,2.2172187732159365,1.8408989271654832,0.15949405431747438
mu,3.0416666666666665,6,2.3027489740826828,1.8728363888108266,0.16411912478506563
mu,3.0416666666666665,7,2.2067710173058868,1.9865110431952147,0.1736565142869949
mu,3.0416666666666665,8,2.286239101167614,2.1838981004558153,0.1729799121618271
mu,3.0416666666666665,9,2.1280419217468447,2.005622683541917,0.17200487330555916
mu,3.0416666666666665,10,2.331811679287164,1.9186188910099702,0.1656704917550087
mu,3.0416666666666665,11,2.246025884160467,1.892054188910425,0.1597619339823722
mu,3.0416666666666665,12,2.2815215193826743,1.9718256542200017,0.1642423190176487
mu,3.0416666666666665,13,2.301074251052858,2.0684242178296834,0.17044230923056605
mu,3.0416666666666665,14,2.300458093370658,2.068723421206494,0.1739431582391261
mu,3.0416666666666665,15,2.4301085991156537,2.05480445308795,0.16318476051092146
mu,3.0416666666666665,16,2.3074999916389167,2.028415347431844,0.15963809639215465
mu,3.0416666666666665,17,2.1790710679688847,1.9374158143690927,0.16919867396354674
mu,3.0416666666666665,18,2.4328104523968044,1.9607649784107615,0.16627323478460312
mu,3.0416666666666665,19,2.276186463062889,2.0775662822514906,0.1755921453237533
mu,3.0416666666666665,20,2.166482850505184,1.7831759528552364,0.16093675792217255
mu,3.0416666666666665,21,2.3161231152291393,1.971129516622419,0.17173221111297607
mu,3.0416666666666665,22,2.2293549168705935,2.06613703059298,0.179156082868576
mu,3.0416666666666665,23,2.220003360878274,1.7926261796197398,0.16023272871971128
mu,3.0416666666666665,24,2.0915857965260836,1.8436619511709722,0.1742903836071491
mu,3.0416666666666665,25,2.252742234856962,2.0517031187658876,0.16120283231139176
mu,3.0416666666666665,26,2.36322173335142,2.0193188741038437,0.16435917019844054
mu,3.0416666666666665,27,2.201970854242528,1.932836060092992,0.17209247089922425
mu,3.0416666666666665,28,2.482335871850161,2.23558029989022,0.15733186751604078
mu,3.0416666666666665,29,2.234896002034542,1.9760692694332587,0.1592911876738071
mu,3.0416666666666665,30,2.1021644828703727,1.8269759089713986,0.15926509648561477
mu,3.0416666666666665,31,2.0624903173065565,1.8318354477838739,0.15544301345944403
mu,3.0416666666666665,32,2.3433277390821363,2.082467679764349,0.16177024990320202
mu,3.0416666666666665,33,2.315234165961128,2.1459964944396663,0.17642385140061378
mu,3.0416666666666665,34,2.1146992646813176,1.984676103025965,0.17455188408493993
mu,3.0416666666666665,35,2.1441674483444384,1.8804744255487709,0.16366840600967408
mu,3.0416666666666665,36,2.1819712801911475,1.9617171071977797,0.17373866289854048
mu,3.0416666666666665,37,2.065183173747048,1.8693747142443495,0.16639393270015718
mu,3.0416666666666665,38,2.5089798167574755,2.2634650441332482,0.1675899349153042
mu,3.0416666666666665,39,2.154960040305286,1.9203764049934335,0.1756977006793022
mu,3.0416666666666665,40,2.3924065357423308,2.3413816487290386,0.178406722843647
mu,3.0416666666666665,41,2.336313854167316,2.0525433086987324,0.1624999787658453
mu,3.0416666666666665,42,2.1441845070691516,1.771208209601527,0.16650198288261892
mu,3.0416666666666665,43,2.1883574197866618,2.075839224234901,0.16674370691180226
mu,3.0416666666666665,44,2.1951671605350582,1.9284647949082547,0.16417021304368967
mu,3.0416666666666665,45,2.471424405963607,2.258063585327143,0.16397256329655643
mu,3.0416666666666665,46,2.1812066154314667,1.9180869831762735,0.16891504600644114
mu,3.0416666666666665,47,2.3138190999294794,2.0151487409844098,0.1654437966644764
mu,3.0416666666666665,48,2.4148568671216255,2.359581691306305,0.17187806665897368
mu,3.0416666666666665,49,2.358623374549492,1.9942399319714212,0.15221548005938526
mu,3.0416666666666665,50,2.454695695031793,2.2541004858169504,0.16449823006987568
mu,3.0416666666666665,51,2.096851078324635,1.9350759559731916,0.16977007761597634
mu,3.0416666666666665,52,2.0476163524610342,1.8329861470912547,0.16082770600914953
mu,3.0416666666666665,53,2.2410457026372765,1.9931861174990502,0.16001048982143404
mu,3.0416666666666665,54,2.3034617565256696,1.937193563508064,0.16211240589618683
mu,3.0416666666666665,55,2.2517171455683638,2.0428743311267716,0.1653920203447342
mu,3.0416666666666665,56,2.3790558920854536,1.986890940844594,0.16009104028344154
mu,3.0416666666666665,57,2.4811622541753873,2.2061822726481264,0.16148873120546342
mu,3.0416666666666665,58,2.3393915646822547,2.081458778807299,0.17090247347950935
mu,3.0416666666666665,59,2.2290393135755817,1.8457171187511232,0.15984766632318498
mu,3.0416666666666665,60,2.1412256760275987,1.9911037988246072,0.1608135737478733
mu,3.0416666666666665,61,2.2923185130826966,2.0911519398403566,0.1639203086495399
mu,3.0416666666666665,62,2.116013486834509,1.9416921488822059,0.16472978070378302
mu,3.0416666666666665,63,2.1091226751900107,1.7957432713735813,0.1657337211072445
mu,3.0416666666666665,64,2.183855168445121,1.9506768813336492,0.1713950902223587
mu,3.0416666666666665,65,2.367520840945765,2.0402592837908884,0.1685265325009823
mu,3.0416666666666665,66,2.1841230273666437,1.9608512863248055,0.1622038349509239
mu,3.0416666666666665,67,2.3769385332241844,2.1251230249444095,0.17142333984375002
mu,3.0416666666666665,68,2.3795984687646388,2.0227683372293743,0.16979448944330217
mu,3.0416666666666665,69,2.1423285080530707,2.177085312280237,0.16492633745074267
mu,3.0416666666666665,70,2.254093979337545,1.9399539630705025,0.15660155937075612
mu,3.0416666666666665,71,2.277392830937917,1.9851146264276593,0.15553423091769214
mu,3.0416666666666665,72,2.2046712185682007,1.9863693294566627,0.16663330793380732
mu,3.0416666666666665,73,2.2439459487005626,2.077879346582833,0.16125920563936233
mu,3.0416666666666665,74,2.2972494393047955,1.9227812025033266,0.16754586473107336
mu,3.0416666666666665,75,2.388805107213742,2.010423261338328,0.1515170283615589
mu,3.0416666666666665,76,2.2819563257879514,2.0964152362741633,0.1686332747340202
mu,3.0416666666666665,77,2.2646658392013075,1.9410383712065666,0.16082822605967514
mu,3.0416666666666665,78,2.1834652382251303,1.9491635486937255,0.16532698571681972
mu,3.0416666666666665,79,2.349787319354045,2.0985931776145446,0.1702567845582962
mu,3.0416666666666665,80,2.2685198040845327,1.8426245540923247,0.1544438064098358
mu,3.0416666666666665,81,2.422515627144882,2.040443795061419,0.16575312986969948
mu,3.0416666666666665,82,2.3922610787968694,2.030275181004349,0.15452080890536307
mu,3.0416666666666665,83,2.3347271495143924,2.1187104517902995,0.17043160274624822
mu,3.0416666666666665,84,2.1295431971755185,1.9460778376673318,0.17010808736085892
mu,3.0416666666666665,85,2.306803967001438,2.1651289385585617,0.16791370734572408
mu,3.0416666666666665,86,2.388472506547142,2.0900902436997093,0.16973383575677872
mu,3.0416666666666665,87,1.9731871699368313,1.753553231387297,0.15888098031282422
mu,3.0416666666666665,88,2.2199378519385373,2.022195656635679,0.17485131248831745
mu,3.0416666666666665,89,2.3410502249867085,2.137709930758609,0.16502030044794083
mu,3.0416666666666665,90,2.3745933670807253,1.9306743383320129,0.1645066939294338
mu,3.0416666666666665,91,2.287165806731945,1.9715640864561568,0.17785745412111278
mu,3.0416666666666665,92,2.0709637157417142,1.9169328545000077,0.17115846797823905
mu,3.0416666666666665,93,2.260669892482435,2.1622326248601933,0.17256395965814592
mu,3.0416666666666665,94,2.2329701561876076,1.9649929982149335,0.15494900494813915
mu,3.0416666666666665,95,2.38707743242639,2.0733547547099587,0.16147291436791422
